state,statefp,placefp,placename,type,funcstat,county,city
WA,53,44690,Medical Lake city,Incorporated Place,A,Spokane County,Medical Lake
WA,53,44725,Medina city,Incorporated Place,A,King County,Medina
WA,53,45005,Mercer Island city,Incorporated Place,A,King County,Mercer Island
WA,53,45180,Mesa city,Incorporated Place,A,Franklin County,Mesa
WA,53,45285,Metaline town,Incorporated Place,A,Pend Oreille County,Metaline
WA,53,45320,Metaline Falls town,Incorporated Place,A,Pend Oreille County,Metaline Falls
WA,53,45355,Methow CDP,Census Designated Place,S,Okanogan County,Methow
WA,53,45495,Midland CDP,Census Designated Place,S,Pierce County,Midland
WA,53,45865,Mill Creek city,Incorporated Place,A,Snohomish County,Mill Creek
WA,53,45870,Mill Creek East CDP,Census Designated Place,S,Snohomish County,Mill Creek East
WA,53,45985,Millwood town,Incorporated Place,A,Spokane County,Millwood
WA,53,46020,Milton city,Incorporated Place,A,"King County, Pierce County",Milton
WA,53,46090,Mineral CDP,Census Designated Place,S,Lewis County,Mineral
WA,53,46125,Minnehaha CDP,Census Designated Place,S,Clark County,Minnehaha
WA,53,46215,Mirrormont CDP,Census Designated Place,S,King County,Mirrormont
WA,53,46405,Moclips CDP,Census Designated Place,S,Grays Harbor County,Moclips
WA,53,46685,Monroe city,Incorporated Place,A,Snohomish County,Monroe
WA,53,46725,Monroe North CDP,Census Designated Place,S,Snohomish County,Monroe North
WA,53,46895,Montesano city,Incorporated Place,A,Grays Harbor County,Montesano
WA,53,47175,Morton city,Incorporated Place,A,Lewis County,Morton
WA,53,47245,Moses Lake city,Incorporated Place,A,Grant County,Moses Lake
WA,53,47280,Moses Lake North CDP,Census Designated Place,S,Grant County,Moses Lake North
WA,53,47315,Mossyrock city,Incorporated Place,A,Lewis County,Mossyrock
WA,53,47490,Mountlake Terrace city,Incorporated Place,A,Snohomish County,Mountlake Terrace
WA,53,47560,Mount Vernon city,Incorporated Place,A,Skagit County,Mount Vernon
WA,53,47630,Mount Vista CDP,Census Designated Place,S,Clark County,Mount Vista
WA,53,47665,Moxee city,Incorporated Place,A,Yakima County,Moxee
WA,53,47735,Mukilteo city,Incorporated Place,A,Snohomish County,Mukilteo
WA,53,47805,Naches town,Incorporated Place,A,Yakima County,Naches
WA,53,47980,Napavine city,Incorporated Place,A,Lewis County,Napavine
WA,53,48015,Naselle CDP,Census Designated Place,S,Pacific County,Naselle
WA,53,48225,Navy Yard City CDP,Census Designated Place,S,Kitsap County,Navy Yard City
WA,53,48295,Neah Bay CDP,Census Designated Place,S,Clallam County,Neah Bay
WA,53,48330,Neilton CDP,Census Designated Place,S,Grays Harbor County,Neilton
WA,53,48540,Nespelem town,Incorporated Place,A,Okanogan County,Nespelem
WA,53,48550,Nespelem Community CDP,Census Designated Place,S,Okanogan County,Nespelem Community
WA,53,48645,Newcastle city,Incorporated Place,A,King County,Newcastle
WA,53,48820,Newport city,Incorporated Place,A,Pend Oreille County,Newport
WA,53,49030,Nile CDP,Census Designated Place,S,Yakima County,Nile
WA,53,49193,Nisqually Indian Community CDP,Census Designated Place,S,Thurston County,Nisqually Indian Community
WA,53,49275,Nooksack city,Incorporated Place,A,Whatcom County,Nooksack
WA,53,49415,Normandy Park city,Incorporated Place,A,King County,Normandy Park
WA,53,49485,North Bend city,Incorporated Place,A,King County,North Bend
WA,53,49555,North Bonneville city,Incorporated Place,A,Skamania County,North Bonneville
WA,53,49765,North Fort Lewis CDP,Census Designated Place,S,Pierce County,North Fort Lewis
WA,53,49940,North Lynnwood CDP,Census Designated Place,S,Snohomish County,North Lynnwood
WA,53,49992,North Marysville CDP,Census Designated Place,S,Snohomish County,North Marysville
WA,53,50007,North Omak CDP,Census Designated Place,S,Okanogan County,North Omak
WA,53,50045,Northport town,Incorporated Place,A,Stevens County,Northport
WA,53,50115,North Puyallup CDP,Census Designated Place,S,Pierce County,North Puyallup
WA,53,50183,North Sultan CDP,Census Designated Place,S,Snohomish County,North Sultan
WA,53,50195,Northwest Stanwood CDP,Census Designated Place,S,Snohomish County,Northwest Stanwood
WA,53,50210,North Yelm CDP,Census Designated Place,S,Thurston County,North Yelm
WA,53,50325,Oakesdale town,Incorporated Place,A,Whitman County,Oakesdale
WA,53,50360,Oak Harbor city,Incorporated Place,A,Island County,Oak Harbor
WA,53,50430,Oakville city,Incorporated Place,A,Grays Harbor County,Oakville
WA,53,50500,Ocean City CDP,Census Designated Place,S,Grays Harbor County,Ocean City
WA,53,50535,Ocean Park CDP,Census Designated Place,S,Pacific County,Ocean Park
WA,53,50570,Ocean Shores city,Incorporated Place,A,Grays Harbor County,Ocean Shores
WA,53,50745,Odessa town,Incorporated Place,A,Lincoln County,Odessa
WA,53,50920,Okanogan city,Incorporated Place,A,Okanogan County,Okanogan
WA,53,51300,Olympia city,Incorporated Place,A,Thurston County,Olympia
WA,53,51340,Omak city,Incorporated Place,A,Okanogan County,Omak
WA,53,51410,Onalaska CDP,Census Designated Place,S,Lewis County,Onalaska
WA,53,51795,Orchards CDP,Census Designated Place,S,Clark County,Orchards
WA,53,51830,Orient CDP,Census Designated Place,S,Ferry County,Orient
WA,53,51970,Oroville city,Incorporated Place,A,Okanogan County,Oroville
WA,53,52005,Orting city,Incorporated Place,A,Pierce County,Orting
WA,53,52110,Oso CDP,Census Designated Place,S,Snohomish County,Oso
WA,53,52215,Othello city,Incorporated Place,A,Adams County,Othello
WA,53,52267,Otis Orchards-East Farms CDP,Census Designated Place,S,Spokane County,Otis Orchards-East Farms
WA,53,52285,Outlook CDP,Census Designated Place,S,Yakima County,Outlook
WA,53,52378,Oyehut CDP,Census Designated Place,S,Grays Harbor County,Oyehut
WA,53,52495,Pacific city,Incorporated Place,A,"King County, Pierce County",Pacific
WA,53,52530,Pacific Beach CDP,Census Designated Place,S,Grays Harbor County,Pacific Beach
WA,53,52600,Packwood CDP,Census Designated Place,S,Lewis County,Packwood
WA,53,52950,Palouse city,Incorporated Place,A,Whitman County,Palouse
WA,53,53265,Parker CDP,Census Designated Place,S,Yakima County,Parker
WA,53,53335,Parkland CDP,Census Designated Place,S,Pierce County,Parkland
WA,53,53440,Parkwood CDP,Census Designated Place,S,Kitsap County,Parkwood
WA,53,53545,Pasco city,Incorporated Place,A,Franklin County,Pasco
WA,53,53720,Pateros city,Incorporated Place,A,Okanogan County,Pateros
WA,53,53800,Peaceful Valley CDP,Census Designated Place,S,Whatcom County,Peaceful Valley
WA,53,53930,Pe Ell town,Incorporated Place,A,Lewis County,Pe Ell
WA,53,54213,Picnic Point CDP,Census Designated Place,S,Snohomish County,Picnic Point
WA,53,54405,Pine Grove CDP,Census Designated Place,S,Ferry County,Pine Grove
WA,53,55015,Point Roberts CDP,Census Designated Place,S,Whatcom County,Point Roberts
WA,53,55120,Pomeroy city,Incorporated Place,A,Garfield County,Pomeroy
WA,53,55365,Port Angeles city,Incorporated Place,A,Clallam County,Port Angeles
WA,53,55400,Port Angeles East CDP,Census Designated Place,S,Clallam County,Port Angeles East
WA,53,55540,Porter CDP,Census Designated Place,S,Grays Harbor County,Porter
WA,53,55612,Port Gamble Tribal Comunity CDP,Census Designated Place,S,Kitsap County,Port Gamble Tribal Comunity
WA,53,55620,Port Hadlock-Irondale CDP,Census Designated Place,S,Jefferson County,Port Hadlock-Irondale
WA,53,55645,Port Ludlow CDP,Census Designated Place,S,Jefferson County,Port Ludlow
WA,53,55785,Port Orchard city,Incorporated Place,A,Kitsap County,Port Orchard
